,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,63,34,0.29896906908279314,0.08858447407685412,14,51.141552511415526,260.5662100456621,14,560,1095,2865,1,8
1,38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,55,37,0.19565217178638944,0.1286713268717297,10,35.94405594405594,183.77622377622376,10,257,715,1610,0,7
2,39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,65,33,0.326530608912953,0.10515021346405351,11,52.253218884120166,253.01287553648064,11,487,932,2492,0,8
3,40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,56,25,0.3827160446578266,0.10201511206530085,9,39.92443324937028,195.69773299748115,9,317,794,1915,0,7
4,41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,51,26,0.3246753204587621,0.08546059838556495,11,41.73140954495005,210.92563817980025,11,376,901,2200,1,7
5,42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,46,25,0.2957746437214839,0.10487444453656655,11,38.99556868537666,199.98227474150664,11,264,677,1597,7,7
6,43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,21,11,0.3124999902343753,0.08333333116319451,8,35.41666666666667,173.66666666666669,8,136,384,907,0,7
7,45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,36,14,0.4399999912000002,0.1272264598670112,11,37.913486005089055,195.65394402035625,11,149,393,837,2,7
8,46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,62,36,0.2653061197417743,0.08941605757832065,12,42.518248175182485,218.07299270073,12,466,1096,2685,5,7
9,47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,45,59,-0.13461538332100592,0.08934707827021411,10,37.97250859106529,191.8900343642612,10,442,1164,2611,1,7
10,48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,32,20,0.23076922633136104,0.08024691234186863,12,52.46913580246913,257.87654320987656,12,340,648,1769,1,8
11,49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,30,24,0.11111110905349798,0.07792207679766124,9,38.52813852813853,190.1125541125541,9,267,693,1644,1,7
12,50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,63,24,0.44827585691636945,0.10998735638448348,10,41.845764854614416,207.3830594184577,10,331,791,1955,18,7
13,51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,64,21,0.5058823469896194,0.09507829871277071,10,41.38702460850112,205.5480984340045,10,370,894,2184,2,7
14,52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,25,0,0.9999999600000016,0.0883392194933138,13,52.65017667844523,262.60070671378094,13,149,283,767,0,8
15,53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,76,39,0.3217391276370511,0.1485788094498862,110,44.57364341085272,618.2945736434109,110,345,774,1885,2,7
16,54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,25,0,0.9999999600000016,0.04761904671201816,9,49.71428571428572,234.8571428571429,9,261,525,1298,0,7
17,55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,15,5,0.4999999750000012,0.050890583946804485,9,51.39949109414759,241.5979643765904,9,202,393,1028,0,8
18,56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,3,4,-0.1428571224489825,0.04142011589230083,14,47.33727810650888,245.3491124260355,14,80,169,421,0,7
19,58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,25,67,-0.45652173416824204,0.1251700663242168,12,42.993197278911566,219.97278911564624,12,316,735,1784,0,7
20,59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,16,14,0.06666666444444451,0.08174386698245595,11,41.96185286103542,211.84741144414167,11,154,367,878,0,7
21,60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,55,42,0.13402061717504518,0.10577971531319831,10,40.34896401308615,201.3958560523446,10,370,917,2229,0,7
22,61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,43,3,0.8695651984877131,0.12707181969414863,8,45.58011049723757,214.32044198895028,8,165,362,867,1,7
23,62,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,4,1,0.599999880000024,0.023809522675737015,13,36.19047619047619,196.7619047619048,13,76,210,479,0,7
24,63,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,22,9,0.4193548251821024,0.04798761535622886,13,39.3188854489164,209.2755417956656,13,254,646,1429,3,6
25,64,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,22,8,0.4666666511111116,0.0815217369151702,15,49.45652173913043,257.8260869565217,15,182,368,978,0,7
26,65,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,14,8,0.27272726033057904,0.12021857266565177,6,46.99453551912568,211.9781420765028,6,86,183,482,0,8
27,66,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,4,0,0.9999997500000625,0.043956039125709986,10,49.45054945054945,237.8021978021978,10,45,91,240,0,8
28,67,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,21,33,-0.22222221810699597,0.12499999710648156,8,28.703703703703702,146.8148148148148,8,124,432,911,3,6
29,68,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,7,2,0.5555554938271674,0.1011235841434175,9,33.70786516853933,170.8314606741573,9,30,89,196,0,7
30,69,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,51,19,0.457142850612245,0.10101009955252382,10,52.81385281385281,251.25541125541125,10,366,693,1888,0,8
31,70,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,9,17,-0.30769229585798863,0.09027777464313283,9,46.52777777777778,222.11111111111111,9,134,288,678,2,7
32,71,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,21,37,-0.2758620642092748,0.11026615759950271,10,35.361216730038024,181.4448669201521,10,186,526,1188,0,7
33,72,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,29,48,-0.24675324354865918,0.0832432423433163,12,47.35135135135135,237.4054054054054,12,438,925,2413,1,8
34,73,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,42,21,0.3333333280423281,0.07826086859303269,11,39.50310559006211,202.01242236024845,11,318,805,1918,1,7
35,74,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,35,23,0.20689654815695607,0.07880434675537573,10,38.45108695652174,193.80434782608697,10,283,736,1713,2,7
36,75,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,24,7,0.5483870790842877,0.07616707429564928,6,40.2948402948403,185.1793611793612,6,164,407,928,0,7
37,76,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,38,7,0.6888888735802473,0.07293354825067183,10,41.81523500810373,207.2609400324149,10,258,617,1419,1,7
38,77,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,30,6,0.6666666481481487,0.18090451352238626,12,49.74874371859296,246.99497487437185,12,99,199,509,0,7
39,78,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,40,15,0.4545454462809919,0.06292906106488488,13,44.8512585812357,231.4050343249428,13,392,874,2215,1,7
40,79,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,25,69,-0.46808510140335,0.18217053910522213,7,34.689922480620154,166.75968992248062,7,179,516,1134,7,6
41,80,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,56,22,0.4358974303090073,0.14444444176954738,7,25.185185185185183,128.74074074074073,7,136,540,1106,0,6
42,81,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,20,31,-0.21568627028066137,0.0800627930916359,10,34.69387755102041,178.77551020408163,10,221,637,1353,0,7
43,82,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,30,23,0.13207546920612323,0.06743002458740427,8,44.14758269720102,208.59033078880407,8,347,786,1921,0,7
44,83,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,25,78,-0.5145631018003582,0.18761383993417413,7,35.701275045537336,170.80510018214937,7,196,549,1216,8,6
45,84,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,38,30,0.11764705709342564,0.09353507436678027,11,41.40302613480056,209.61210453920225,11,301,727,1682,0,7
46,85,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,23,13,0.2777777700617286,0.09045225903386285,15,40.95477386934673,223.81909547738687,15,163,398,986,0,7
47,86,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,37,24,0.21311475060467622,0.09546165734801788,16,42.56651017214397,234.26604068857588,16,272,639,1603,0,8
